TIME,Pass_ID,Time since ball possession change,Time to next ball possession change,Pressure on the ball (d1=9.0; d2=3.0; p=1.75),Pressure on the offense team (d1=9.0; d2=3.0; p=1.75),Threat to the defense goal from the offense team (maxD=35.0; r=1.5),Potential threat to the offense goal from the defense team (maxD=35.0; r=1.5),Ball distance to the defense goal,left-right,back-front,change,team,tsne_x,tsne_y,color_tsne,ae4_x,ae4_y,color_ae4,ae3_x,ae3_y,color_ae3,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,tsne_y_5000,tsne_x_5000,color_tsne_5000,order,id,Y
49:45.0,46,0.041039672,0.45514326,0.0,0.06606719700000001,0.0,0.203347093,0.820076118,0.334810774,0.429636222,0,1,81.80981,20.516851000000003,#275de9,2.7502809,3.9409870000000002,#8c278c,-2.2432213,0.5021407999999999,#a91a67,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.421492,3.6203032,#3b5adb,0,46,46
49:45.1,46,0.04195166400000001,0.454203852,0.0,0.06552068700000001,0.0,0.203347093,0.81284491,0.341288783,0.436533541,0,1,81.842,20.551586,#275de9,2.750604,3.9360762,#8c278c,-2.2573950000000003,0.49483590000000005,#aa1b66,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.418808,3.6196835,#3b5adb,0,47,47
49:45.2,46,0.042863657,0.45326444299999996,0.0,0.06430275099999999,0.0,0.203347093,0.8106565179999999,0.345380157,0.43742351799999996,0,1,81.84725,20.556684,#275de9,2.7528697999999996,3.9344292000000003,#8c278c,-2.2625504000000003,0.49227464,#ab1c65,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.415756,3.621238,#3b5adb,0,48,48
49:45.2,46,0.04377565,0.452325035,0.0,0.06308091099999999,0.0,0.203347093,0.808563273,0.34844868700000003,0.43820224700000004,0,1,81.84929,20.565176,#275de9,2.7541029999999997,3.9321917999999996,#8c278c,-2.2664342,0.4897496,#ab1c65,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.410994,3.6216176,#3b5adb,0,49,49
49:45.3,46,0.044687642,0.451385627,0.0,0.064519403,0.0,0.203347093,0.8067554709999999,0.350153427,0.438535988,0,1,81.850685,20.568929999999998,#275de9,2.7572567,3.9309324999999995,#8c278c,-2.2711468,0.48766106,#ac1c65,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.409863,3.6244147,#3b5adb,0,50,50
02:27.6,237,0.036479708,0.011742602,0.307684801,0.542057844,0.0,0.0,0.42635585200000004,0.39771565,0.64000445,1,0,-75.687035,-40.474438,#e7a20c,1.3500715,-0.24095204,#c4d830,-0.36459723,-0.73513883,#27a1df,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-23.388435,-38.393757,#e8b901,18,51,0
02:27.7,237,0.037391701,0.010803193999999999,0.47923883899999997,0.547919163,0.0,0.0,0.411227402,0.394476645,0.62398487,0,0,-4.519930400000001,-75.28513000000001,#89d65f,1.4864068000000001,-0.15532549,#bfd736,-0.5195544,-0.7777361,#30abd9,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,1.1861858,-48.005417,#7edd6a,18,52,1
02:27.8,237,0.038303694,0.009863786,0.349255916,0.560769954,0.0,0.0,0.400856327,0.385952949,0.613527645,0,0,-5.6324987,-78.2152,#88d75f,1.4573033000000002,-0.16910684,#c0d734,-0.48900053,-0.7631626,#2ea8da,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,0.2599957,-47.800144,#81dd66,18,53,2
02:27.9,237,0.039215686,0.008924378,0.13398389900000002,0.572752185,0.0,0.0,0.390390105,0.377770201,0.602959172,0,0,-11.284895,-86.45286999999999,#8bdb5b,1.4098042,-0.18365787,#c2d732,-0.43868396,-0.7330471,#2ba3dd,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-1.3563311,-47.087875,#88dc5f,18,54,3
02:28.0,237,0.040127679,0.007984969,0.06230788,0.582353194,0.0,0.0,0.380304472,0.378622571,0.592724441,0,0,-11.557597999999999,-87.209526,#8bdb5b,1.3974361000000002,-0.19337662,#c2d732,-0.42408872,-0.73000693,#2aa2dd,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-1.6446146,-46.831314,#89dc5e,18,55,4
02:28.0,237,0.041039672,0.007045561,0.081483289,0.591628248,0.0,0.0,0.370789724,0.38237299700000005,0.583268439,0,0,-11.2690935,-87.189644,#8bdb5b,1.4066893999999999,-0.20045972,#c2d832,-0.43155715,-0.74360365,#2ba4dd,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-1.4492505,-46.940212,#88dc5f,18,56,5
02:28.1,237,0.04195166400000001,0.0061061530000000004,0.10173213,0.59750323,0.0,0.0,0.36298763100000003,0.376576884,0.575703638,0,0,-10.948494,-87.001785,#8adb5b,1.4053373,-0.21185872,#c2d832,-0.43388990000000005,-0.75403994,#2ba6dc,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-1.2578562,-47.073486,#87dc60,18,57,6
02:28.2,237,0.042863657,0.005166745,0.07406684599999999,0.60235741,0.0,0.0,0.355756422,0.378111149,0.568806319,0,0,-11.084906,-87.36666,#8adb5b,1.4001145000000002,-0.21932267,#c2d832,-0.4281629,-0.75649154,#2ba6dc,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-1.3520509,-46.99199,#88dc5f,18,58,7
02:28.3,237,0.04377565,0.004227337,0.103878995,0.600259202,0.0,0.0,0.34852521399999997,0.379304466,0.561797753,0,0,-10.697356,-87.00105,#8adb5b,1.3979538999999999,-0.22996816,#c2d832,-0.43215197,-0.76824194,#2ba7dc,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-1.1832178,-47.1872,#87dc60,18,59,8
02:28.4,237,0.044687642,0.003287929,0.143595999,0.594975622,0.0,0.0,0.34129400600000004,0.379304466,0.554789187,0,0,-10.120066,-86.30684000000001,#89db5c,1.3929216,-0.24268076,#c1d832,-0.43640313,-0.78109,#2ca9dc,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-0.97513264,-47.438457,#86dd61,18,60,9
02:28.4,237,0.045599635,0.00234852,0.19121737,0.5889425420000001,0.0,0.0,0.334157945,0.37896351899999997,0.547780621,0,0,-9.252927,-85.484764,#88da5d,1.3883326999999999,-0.25579295,#c1d831,-0.44194373,-0.79511714,#2daadb,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-0.7250799,-47.737297,#85dd62,18,61,10
02:28.5,237,0.046511628,0.0014091120000000001,0.214686509,0.583305683,0.0,0.0,0.32787821100000003,0.385782475,0.541773278,0,0,-8.79809,-85.15929,#88da5d,1.3866367,-0.26389447,#c1d931,-0.44550756,-0.80548745,#2dacdb,3,0,1,6,2,6,6,6,10,6,10,12,12,13,13,13,-0.63459307,-47.925163,#85dd63,18,62,11
